user_id	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15
0	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
1	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
2	4	1	4	3	2	4	2	3	4	2	2	2	4	4	4
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
6	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
9	0	3	4	4	3	5	0	5	3	4	0	0	3	3	5
10	3	0	4	3	0	1	1	0	2	1	4	0	4	2	5
11	4	1	5	5	1	4	1	5	4	5	1	1	4	4	4
12	1	2	0	2	0	3	5	1	2	3	2	0	5	0	2
13	0	3	4	4	3	5	0	5	3	4	0	0	3	3	5
14	3	0	3	0	3	1	2	5	1	5	3	4	2	0	5
15	4	1	4	4	1	4	1	4	4	4	1	1	4	4	5
16	1	2	2	2	2	5	2	2	2	2	2	2	2	2	4
17	3	2	4	5	1	3	1	2	3	1	3	2	2	3	5
18	5	0	5	5	5	5	0	5	4	5	0	0	4	5	5
19	0	5	4	3	2	3	3	3	0	2	1	0	2	3	5
20	2	1	5	5	1	3	2	3	3	4	3	1	1	4	2
21	5	0	2	3	0	4	0	4	4	3	0	1	4	5	3
22	5	1	5	5	5	5	0	0	0	5	5	0	2	3	1
23	5	1	4	5	1	5	0	5	4	4	1	1	5	4	4
24	4	3	3	3	3	4	1	4	4	2	1	1	5	3	4
25	1	2	3	1	5	3	2	3	4	4	2	2	3	0	0
26	4	3	2	2	3	4	3	4	4	2	3	2	4	2	4
27	3	3	2	2	2	3	3	3	3	2	2	2	3	3	3
28	2	2	3	3	3	3	2	3	3	3	2	2	3	3	3
29	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
30	2	2	2	3	3	2	2	4	4	1	1	0	4	3	4
31	3	2	3	3	2	5	2	5	3	3	2	2	3	3	4
32	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
33	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
34	5	5	5	5	0	4	0	4	5	4	0	0	5	4	4
35	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
36	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
37	3	0	3	3	1	3	1	3	3	2	3	2	3	4	3
38	5	2	4	5	2	4	1	4	4	4	0	0	3	4	5
39	4	3	2	1	4	4	4	4	4	1	4	4	4	2	4
40	5	1	5	4	3	4	1	5	4	5	3	2	4	4	4
41	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
42	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
43	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
44	4	1	4	5	1	4	1	4	1	3	1	1	4	4	4
45	4	0	0	0	5	5	0	0	5	4	3	3	4	0	5
46	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
47	4	1	4	4	1	5	0	5	3	4	0	0	4	4	5
48	5	3	2	2	3	3	2	4	4	2	2	2	4	2	4
49	3	1	3	2	1	3	2	2	5	1	4	3	2	4	2
50	3	4	4	1	5	3	1	5	3	2	3	3	3	0	5
51	3	2	3	3	1	4	1	4	0	3	1	1	3	4	4
52	4	1	4	4	1	5	4	5	4	4	1	1	4	4	5
53	1	2	5	2	1	4	4	2	3	4	0	3	2	0	1
54	3	3	2	2	3	3	3	4	3	1	1	1	3	3	4
55	5	3	3	3	3	4	3	5	3	4	3	3	4	2	3
56	4	0	3	4	3	5	2	5	2	2	3	0	2	2	5
57	5	2	3	3	2	5	2	5	5	3	2	2	5	3	5
58	5	0	0	0	0	5	4	2	5	0	0	0	5	5	2
59	5	3	3	3	4	3	2	3	4	2	2	0	5	0	5
60	4	2	4	3	5	3	2	3	2	2	0	0	3	3	5
61	5	0	5	5	0	3	1	2	5	5	2	2	5	5	3
62	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
63	4	4	0	0	4	3	3	4	4	0	2	2	4	0	4
64	5	3	3	4	3	5	4	1	3	2	1	0	5	2	3
65	4	4	5	5	4	5	3	1	4	5	3	3	4	1	5
66	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
67	4	1	3	3	1	5	1	5	4	3	1	1	4	4	5
68	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
69	4	3	2	2	4	4	1	4	4	1	1	1	4	1	4
70	5	0	3	3	0	4	2	5	4	3	2	2	4	5	3
71	4	5	3	3	5	5	5	3	4	3	5	2	5	2	5
72	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
73	1	3	2	3	3	5	4	2	3	3	4	2	0	0	3
74	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
75	4	4	2	2	4	2	3	4	2	1	3	3	2	1	3
76	5	0	4	4	2	5	2	5	5	3	2	2	5	3	5
77	5	3	2	2	3	5	3	5	5	2	3	3	5	2	5
78	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
79	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
80	5	0	5	5	0	5	0	5	5	0	0	0	5	5	5
81	5	3	2	2	3	5	3	5	5	2	3	3	5	2	5
82	5	0	4	4	1	5	2	5	5	3	2	2	5	3	5
83	4	3	2	3	3	4	3	3	4	3	3	1	4	2	4
84	0	0	1	4	1	2	3	3	2	3	4	1	3	0	3
85	3	1	3	2	2	2	3	2	4	3	2	1	3	3	1
86	2	3	3	2	3	2	3	2	2	3	3	2	2	5	1
87	0	3	2	0	4	3	5	1	1	0	4	1	3	1	3
88	4	3	4	4	3	1	1	5	4	4	1	1	4	3	4
89	4	3	5	5	3	5	4	4	3	4	3	4	4	3	4
90	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
91	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
92	3	2	3	3	3	2	3	2	3	3	3	2	3	3	2
93	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
94	3	3	2	2	3	3	2	2	3	2	2	2	3	2	3
95	5	5	0	0	5	5	5	5	5	0	5	5	5	5	5
96	3	3	3	2	2	3	3	3	2	2	2	2	2	2	2
97	3	3	2	3	3	3	2	2	2	2	2	2	2	2	3
98	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3
